weight:	"[0.8, 0.1, 0.05, 0.5]"		
song name.	difficulty name	level	calculated level
S1CK_F41RY	extended	15	39.75639682
FLOWER	infinite	19	39.70225834
á¼ã÷	extended	15	39.62606299
Angels And Demons	extended	15	39.4076915
Parousia	extended	15	39.1893258
Enigma	extended	15	39.05953881
twilight signal	light	3	39.02442534
Hoshizora Illumination	infinite	17	38.99601643
The End of War	extended	15	38.96777471
False Cross	extended	15	38.96467979
VISION	challenge	8	38.95090505
«««¿«ë«·«¹ªÎêÅ	extended	14	38.86788184
gigadelic (ª«ªáªêª¢'s ''The TERA'' RMX)	extended	15	38.66407647
«Û?«ó«Æ«Ã«É¡Ú«á«¤«É«é«ó«Á	extended	15	38.6588773
 Heavenly Adventure	infinite	17	38.63714208
Ð¡ô¸	extended	15	38.61201696
BEAST BASS BOMB	infinite	18	38.52471883
archive::zip	extended	13	38.48330614
Boss Rush	infinite	18	38.47348887
Completeness Under Incompleteness	infinite	15	38.34102367
¡¸ª³ª³ªÊªÄ¡Ù¡¹ªÏÙÓªÎ«««¿«Á	extended	14	38.3369907
VISION	extended	13	38.21769988
Ultimate Fury	light	4	38.20091266
TRIGGER¡ÚHAPPY	infinite	15	38.18396483
World Vertex	infinite	15	37.97056414
«¢«Ê?«­?«¤«ó«¶àªÌØ	extended	15	37.95223455
XROSS INFECTION	extended	15	37.92675551
Last Battalion	infinite	15	37.88546993
Asian Chip City	light	4	37.79659771
¥ØVERSOUL	infinite	18	37.73456127
archive::zip	infinite	14	37.45442999
Next infection	light	4	37.13760379
«â«ó«¹«¿?«¹«È«é«¤«¯«á«É«ì? (SDVX REMIX)	extended	13	36.77974181
akasha-assembly	extended	15	36.62394492
Asian Chip City	challenge	10	36.55179709
Pieces	extended	12	36.42338085
Pon-Pon-Pompoko Dai-Sen-Saw!	extended	15	36.40166247
¥Á¥Ø	challenge	12	36.36122198
ðÈßäªÎòµÞ«ú¼Ñ¦	extended	14	35.78759531
ÕóÙ¥«¹«±«Ã«Á«Ö«Ã«¯	infinite	17	35.7680052
?clair au chocolat	infinite	15	35.76366472
Þ«ü£Õªç¨	extended	13	35.50535604
BLACK or WHITE?	infinite	16	35.37881216
Question.	extended	14	35.34053829
Ô´?ïÖÜ×Girls¡Ù	extended	13	35.22389456
Erlung	infinite	15	35.19230593
VOLTEXES II	extended	14	35.18709163
THUNDERCRACK	extended	15	34.92912633
«±«í¨ïdestiny	infinite	17	34.91061297
¥Á¥Ø	extended	15	34.74381992
B.B.K.K.B.K.K.	extended	15	34.62861648
Dualive	extended	15	34.50337603
Phantom Ensemble (ªæªóªæªó Remix)	extended	13	33.8963419
Ultimate Fury	challenge	10	33.76353934
{albus}	extended	15	33.69520922
Immortal saga	infinite	18	33.6526393
øïªÊªÊ¡ÙªÆª¹ªÈ«í«¤«ä?	extended	14	33.60434607
FIRE FIREªÏï³?«¹«¦«£«ó«°ªÎÙÓªòÌ¸ªëª«£¿	extended	14	33.49966512
veRtrageS	challenge	13	33.4775616
Milkyway - memorable -	extended	14	33.42781204
Boss Rush	extended	15	33.3071454
Blastix Riotz	extended	15	33.16986009
àäÒ³	challenge	11	33.13700078
